contig	length	gc	cov	kingdom	phylum	class	order	family	genus	species	taxid	single_copy_PFAMs	num_single_copies	bh_tsne_x	bh_tsne_y	cluster	ML_expanded_clustering
NODE_1_length_1389215_cov_225.275	1389215	68.5816090382	225.275	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Nocardia	Nocardia brasiliensis	37326	PF01783.18,PF00164.20,PF00466.15,PF00113.17,PF00298.14,PF04998.12,PF06071.8,PF03461.10,PF00830.14,PF00830.14,PF02873.11,PF04983.13,PF04565.11,PF04560.15,PF04997.7,PF00035.20,PF04563.10,PF00687.16,PF05000.12,PF03952.11,PF01084.15,PF00562.23,PF01025.14,PF10385.4,PF03946.9,PF00627.26,PF00344.15,PF00177.16,PF00584.15,PF00623.15,PF01195.14,PF00542.14,PF04561.9	33	6.487119141307709	18.150339051093045	DBSCAN_round1_0	DBSCAN_round1_0
NODE_2_length_1166739_cov_224.155	1166739	60.4549946475	224.155	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Phaeobacter	Phaeobacter inhibens	221822	PF01783.18,PF00154.16,PF00162.14,PF00113.17,PF01018.17,PF01765.14,PF00889.14,PF01409.15,PF00958.17,PF01715.12,PF03461.10,PF02873.11,PF03484.10,PF01016.14,PF10458.4,PF03772.11,PF03485.11,PF03147.9,PF00380.14,PF03952.11,PF06689.8,PF00750.14,PF01632.14,PF00572.13,PF00453.13,PF08275.6,PF00627.26,PF00318.15,PF02912.13,PF01795.14,PF00829.16	31	17.294022067103146	3.2481802847526047	DBSCAN_round1_1	DBSCAN_round1_1
NODE_3_length_1063064_cov_225.095	1063064	68.30350759689999	225.095	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Nocardia	Nocardia brasiliensis	37326	PF03602.10,PF01783.18,PF06574.7,PF00154.16,PF01509.13,PF01765.14,PF00889.14,PF01715.12,PF08529.6,PF00830.14,PF01668.13,PF01746.16,PF00035.20,PF11987.3,PF00312.17,PF01782.13,PF00886.14,PF01245.15,PF01687.12,PF03726.9,PF00627.26,PF04760.10,PF00318.15,PF02978.14,PF02033.13	25	6.734379820196739	17.95507120038452	DBSCAN_round1_0	DBSCAN_round1_0
NODE_4_length_1031470_cov_223.812	1031470	70.0056230428	223.812	Bacteria	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	Deinococcus maricopensis	309887	PF06574.7,PF01509.13,PF00162.14,PF02938.9,PF00958.17,PF01715.12,PF03461.10,PF08529.6,PF02873.11,PF00763.18,PF00763.18,PF01668.13,PF02130.12,PF01746.16,PF10458.4,PF11987.3,PF03485.11,PF03840.9,PF01782.13,PF00886.14,PF01649.13,PF00380.14,PF00121.13,PF02882.14,PF02882.14,PF00750.14,PF01687.12,PF00572.13,PF08459.6,PF04760.10,PF01795.14	31	8.41404308381968	9.792592114027318	DBSCAN_round3_0	DBSCAN_round3_0
NODE_5_length_937195_cov_225.122	937195	68.0007895902	225.122	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Nocardia	Nocardia brasiliensis	37326	PF00252.13,PF00237.14,PF00276.15,PF00338.17,PF03947.13,PF00181.18,PF00831.18,PF02132.10,PF02403.17,PF00366.15,PF00297.17,PF00627.26,PF00203.16,PF00573.17,PF00189.15	15	6.621096421762373	17.765748931849423	DBSCAN_round1_0	DBSCAN_round1_0
NODE_6_length_801699_cov_224.213	801699	67.8545189653	224.213	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Nocardia	Nocardia brasiliensis	37326	PF01018.17,PF01016.14,PF02130.12,PF10458.4,PF03772.11,PF02410.10,PF05698.9,PF01649.13,PF06689.8,PF06421.7,PF05697.8,PF08275.6,PF04760.10,PF00829.16	14	7.0009776751428925	17.88317429896545	DBSCAN_round1_0	DBSCAN_round1_0
NODE_7_length_734119_cov_224.107	734119	67.8473108583	224.107	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Nocardia	Nocardia brasiliensis	37326	PF01176.14	1	7.161224167563008	18.414666931348147	DBSCAN_round1_0	DBSCAN_round1_0
NODE_8_length_686892_cov_223.785	686892	32.033420101	223.785	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella	Francisella sp. TX077308	573569	PF12344.3,PF03602.10,PF01281.14,PF01409.15,PF06071.8,PF00958.17,PF01715.12,PF03461.10,PF03484.10,PF01330.16,PF01016.14,PF01668.13,PF03652.10,PF02130.12,PF02410.10,PF07499.8,PF03147.9,PF02132.10,PF05698.9,PF03948.9,PF00380.14,PF06689.8,PF02403.17,PF05697.8,PF01084.15,PF01632.14,PF01025.14,PF00572.13,PF01416.15,PF02224.13,PF00453.13,PF01250.12,PF08275.6,PF08459.6,PF05491.8,PF02978.14,PF02912.13,PF01195.14,PF01176.14,PF05198.11,PF00707.17,PF00829.16	42	-22.21671329806837	2.8674028601562247	DBSCAN_round3_1	DBSCAN_round3_1
NODE_9_length_644926_cov_224.104	644926	28.422330624	224.104	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Caloranaerobacter	Caloranaerobacter sp. TR13	1302151	PF03602.10,PF01783.18,PF06574.7,PF00154.16,PF01509.13,PF02938.9,PF01018.17,PF01765.14,PF00889.14,PF01121.15,PF06071.8,PF01715.12,PF08529.6,PF00830.14,PF01330.16,PF01016.14,PF00763.18,PF03652.10,PF02130.12,PF01746.16,PF00035.20,PF11987.3,PF03772.11,PF00312.17,PF02410.10,PF07499.8,PF01782.13,PF00886.14,PF01649.13,PF01245.15,PF06421.7,PF01252.13,PF02882.14,PF01687.12,PF01025.14,PF02224.13,PF08275.6,PF03726.9,PF00627.26,PF00627.26,PF04760.10,PF00318.15,PF05491.8,PF02978.14,PF02033.13,PF01795.14,PF00829.16	47	-23.35489724440868	5.752836791531755	DBSCAN_round3_2	DBSCAN_round3_2
NODE_10_length_622659_cov_224.054	622659	68.8339845726	224.054	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Nocardiaceae	Nocardia	Nocardia brasiliensis	37326	PF00162.14,PF02938.9,PF00763.18,PF03840.9,PF00121.13,PF02882.14,PF08459.6,PF02772.11,PF02773.11	9	6.601897765690228	18.450415167088106	DBSCAN_round1_0	DBSCAN_round1_0
NODE_11_length_590705_cov_223.126	590705	37.3440211273	223.126	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Gabonia	Gabonia massiliensis	1686296	PF06574.7,PF00466.15,PF01509.13,PF00298.14,PF01018.17,PF04998.12,PF06071.8,PF04983.13,PF04565.11,PF02130.12,PF04560.15,PF04997.7,PF00035.20,PF04563.10,PF00687.16,PF05000.12,PF01245.15,PF02403.17,PF00562.23,PF01687.12,PF10385.4,PF03726.9,PF03946.9,PF08459.6,PF02772.11,PF05491.8,PF00623.15,PF02033.13,PF01795.14,PF00542.14,PF04561.9,PF02773.11	32	0.4872889146880983	-11.748269715901506	DBSCAN_round1_4	DBSCAN_round1_4
NODE_12_length_584723_cov_225.634	584723	33.3068820621	225.634	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella	Francisella sp. TX077308	573569	PF01783.18,PF00466.15,PF01509.13,PF00162.14,PF00298.14,PF01018.17,PF01121.15,PF04998.12,PF08529.6,PF04983.13,PF04565.11,PF01746.16,PF04560.15,PF04997.7,PF00035.20,PF04563.10,PF11987.3,PF03840.9,PF01782.13,PF00886.14,PF00687.16,PF05000.12,PF01245.15,PF00121.13,PF01193.19,PF00562.23,PF10385.4,PF03946.9,PF02772.11,PF04760.10,PF00584.15,PF00623.15,PF02033.13,PF03118.10,PF00542.14,PF04561.9,PF02773.11	37	-22.139695775909576	2.8177437320891774	DBSCAN_round3_1	DBSCAN_round3_1
